PID,MS_SubClass,Lot_Frontage,Lot_Area,Street,Bldg_Type,House_Style,Overall_Qual,Overall_Cond,Year_Built,Gr_Liv_Area,Full_Bath,Half_Bath,Bedroom_AbvGr,Kitchen_AbvGr,TotRms_AbvGrd,Fireplaces,Garage_Area,Mo_Sold,Yr_Sold,SalePrice
527258010,20,88,11394,Pave,1,1,9,2,2010,1856,1,1,1,1,8,1,834,6,2010,394432
533238045,20,57,12853,Pave,1,1,8,5,2010,1418,1,1,1,1,6,1,852,4,2010,267916
906385020,20,64,7360,Pave,1,1,7,5,2010,1222,2,0,2,1,6,0,615,3,2010,187000
528108120,60,102,12858,Pave,1,2,9,5,2009,2334,2,1,3,1,10,1,751,1,2010,376162
528120060,20,83,10159,Pave,1,1,9,5,2009,1940,2,1,3,1,8,1,606,4,2010,395192
528120090,20,94,12883,Pave,1,1,8,5,2009,1544,2,0,3,1,7,0,868,6,2010,290941
528150070,20,100,12919,Pave,1,1,9,5,2009,2364,2,1,2,1,11,2,820,3,2010,611657
528175010,120,44,6371,Pave,5,1,7,5,2009,1358,2,0,2,1,6,1,484,6,2010,224000
528456160,20,92,9215,Pave,1,1,7,5,2009,1218,2,0,2,1,4,0,676,4,2010,204500
528458070,60,72,8640,Pave,1,2,7,5,2009,1547,2,1,3,1,7,0,614,6,2010,215200
905453040,20,83,10420,Pave,1,1,6,5,2009,1212,2,0,3,1,6,0,460,3,2010,186000
905453080,20,44,17485,Pave,1,1,7,5,2009,1508,1,0,1,1,5,2,572,1,2010,308030
906385010,20,94,10402,Pave,1,1,7,5,2009,1226,2,0,3,1,6,0,740,5,2010,198900
916386020,20,73,9803,Pave,1,1,7,5,2009,1214,2,0,2,1,6,0,520,1,2010,179781
916386090,60,92,12003,Pave,1,2,8,5,2009,1968,2,1,4,1,8,1,680,5,2010,269500
527365030,60,75,8004,Pave,1,2,8,5,2009,1935,2,1,3,1,8,0,552,12,2009,263435
528108040,60,95,12350,Pave,1,2,9,5,2009,2690,2,1,3,1,8,1,864,7,2009,398800
528108140,20,94,12220,Pave,1,1,10,5,2009,2020,2,1,3,1,9,1,900,9,2009,402861
528144020,20,79,9541,Pave,1,1,7,5,2009,1502,2,0,3,1,7,0,644,9,2009,233170
528456180,60,72,8640,Pave,1,2,7,5,2009,1852,2,1,3,1,7,1,644,7,2009,252678
528456240,20,75,7862,Pave,1,1,6,5,2009,1218,2,0,2,1,4,0,676,9,2009,208300
528458040,20,72,8640,Pave,1,1,8,5,2009,1314,2,0,3,1,6,0,552,9,2009,229456
528458160,20,85,9187,Pave,1,1,9,5,2009,1766,2,1,2,1,7,1,478,10,2009,370878
533210010,160,40,3951,Pave,5,2,6,5,2009,1224,2,1,2,1,4,0,528,6,2009,164500
533210020,160,30,3000,Pave,5,2,6,5,2009,1224,2,1,2,1,4,0,528,6,2009,173733
906340100,20,84,10933,Pave,1,1,9,5,2009,1680,1,1,1,1,8,1,1138,7,2009,323262
916382010,60,83,13159,Pave,1,2,7,5,2009,1692,2,1,3,1,6,0,650,7,2009,224500
528458110,20,75,9000,Pave,1,1,8,5,2008,1566,2,0,3,1,7,0,750,4,2010,262500
906378100,20,64,10475,Pave,1,1,8,5,2008,1694,2,0,3,1,7,0,776,2,2010,245350
916386010,20,88,11896,Pave,1,1,7,5,2008,1346,2,0,3,1,6,1,660,5,2010,220000
921128020,20,89,13214,Pave,1,1,9,5,2008,2018,2,0,3,1,10,1,746,5,2010,378500
527214050,20,63,17423,Pave,1,1,9,5,2008,2234,2,0,1,1,9,1,1166,7,2009,501837
527254020,20,80,11844,Pave,1,1,8,5,2008,2046,2,1,3,1,7,1,834,7,2009,372500
528104070,60,104,13518,Pave,1,2,9,5,2008,3140,3,1,4,1,11,2,820,7,2009,485000
528106020,20,105,15431,Pave,1,1,10,5,2008,2402,2,0,2,1,10,2,672,4,2009,555000
528108020,20,98,12704,Pave,1,1,8,5,2008,2042,2,1,3,1,8,1,1390,8,2009,253293
528108070,60,96,11308,Pave,1,2,9,5,2008,2184,2,1,3,1,10,1,836,7,2009,335000
528108130,20,95,12350,Pave,1,1,9,5,2008,2020,2,0,3,1,7,1,896,5,2009,404000
528110010,60,97,13478,Pave,1,2,10,5,2008,2296,2,1,3,1,10,1,842,6,2009,451950
528110090,60,107,13891,Pave,1,2,9,5,2008,2822,3,1,4,1,12,1,1020,1,2009,582933
528112040,20,95,11578,Pave,1,1,9,5,2008,1736,2,0,3,1,7,1,834,7,2009,360000
528120030,20,87,10367,Pave,1,1,9,5,2008,1743,2,0,3,1,8,1,927,6,2009,335000
528138010,20,102,13514,Pave,1,1,9,5,2008,1808,2,0,3,1,7,1,850,3,2009,324000
528180120,120,44,7390,Pave,5,1,9,5,2008,1884,2,0,2,1,6,1,649,5,2009,320000
528180130,120,48,6472,Pave,5,1,9,5,2008,1456,2,0,2,1,6,1,539,4,2009,248500
528427020,20,74,9612,Pave,1,1,8,5,2008,1468,2,0,3,1,6,1,898,12,2009,244600
528431020,20,86,11194,Pave,1,1,8,5,2008,1696,2,0,3,1,7,0,972,9,2009,275000
528431070,20,78,10206,Pave,1,1,8,5,2008,1658,2,1,3,1,7,1,726,9,2009,257500
528435030,20,78,9262,Pave,1,1,8,5,2008,1578,2,0,3,1,7,1,840,5,2009,287090
528456220,60,75,9000,Pave,1,2,8,5,2008,1590,2,1,3,1,6,0,676,6,2009,210000
528458060,20,72,8640,Pave,1,1,7,5,2008,1402,2,0,3,1,7,0,625,5,2009,229800
528477050,60,85,11003,Pave,1,2,10,5,2008,2007,2,1,3,1,10,1,812,4,2009,310000
528480170,20,65,8125,Pave,1,1,8,5,2008,1836,2,0,3,1,8,1,517,10,2009,264500
531376090,20,61,7328,Pave,1,1,7,5,2008,1450,2,0,2,1,6,0,788,2,2009,224243
906340120,20,61,10226,Pave,1,1,8,5,2008,1630,2,0,3,1,8,1,860,1,2009,295493
906340130,20,65,10816,Pave,1,1,9,5,2008,1720,2,0,3,1,8,1,846,11,2009,332000
